id,ratio
A0AVT1,0.85207
J3KR33,0.83998
A0JLT2,0.83998
A0MZ66,0.63438
A1A4S6,0.53753
M0R026,0.6856
A1L0T0,0.6856
A1L188,1.072
A1X283,0.78419
A1XBS5,0.47687
A0A087WTS3,0.47687
A2RRD8,0.64576
Q96IR2,0.64576
A6NN14,0.64576
H0Y5G7,0.73704
A2RRP1,0.73704
A3KMH1,0.63765
A3KN83,0.58489
A4D1E9,0.64819
C9J8R7,0.64819
C9JNI1,0.64819
F5H4Q5,0.7532
A5D8V6,0.7532
A5YKK6,0.79375
H3BTL1,0.77956
Q9GZQ8,0.77956
A6NCE7,0.77956
A6ND36,0.88602
K7EKN5,0.58336
A0A590UJ23,0.58336
A6NDB9,0.58336
A0A590UJ36,0.58336
A6NDG6,0.75716
A0A0C4DGW6,0.7611
A6NDU8,0.7611
A6NFI3,0.88084
A0A0A0MSG0,0.66019
A6NGB9,0.66019
A6NHR9,0.74501
J3KTL8,0.74501
A6NIH7,0.62085
A6NJ78,0.68917
A0A0U1RR76,0.68917
A6NKD9,0.66426
H0YJE0,0.66426
F8WC89,0.69986
A6NKF1,0.69986
A6NKT7,0.779
J3KNE0,0.779
A6NNY8,0.79578
Q9UPT9,0.79578
J3QR01,0.79976
A8MT69,0.79976
J3QRS1,0.79976
A8MXV4,0.90527
B1AK53,0.72987
A0A1B0GUS9,0.72987
A0A0J9YWQ8,0.72987
A0A0A0MSQ4,0.72987
B2RBV5,0.42272
E9PS63,1.0116
B7ZAP0,1.0116
F5H8L0,1.0116
I3L2L5,0.75248
C9JLW8,0.75248
I3L4Q0,0.75248
I3L317,0.75248
C9JRZ8,0.61284
F8VZJ2,0.65549
Q13765,0.65549
H0YHX9,0.65549
E9PAV3,0.65549
F8W0W4,0.65549
F8W1N5,0.65549
F8VNW4,0.65549
E9PRG8,0.532
E9PLD3,0.532
A0A494BXY3,0.532
L0R6Q1,1.8289
L0R819,0.6689
U3KQP1,0.6689
O00115,0.68896
K7ENE5,0.68896
O00116,0.82531
A0A1B0GWA2,0.82531
A0A2R8YEL0,0.82531
O00148,0.78541
O00151,1.0699
O00154,0.66215
K7EKP8,0.66215
F5H6E2,0.74725
,
,
